1,francoise.rautenstrauch@rautenstrauch.com,-936064616918495532,Francoise78,519-569-8399,2335 Canton Hwy #6WindsorON N8N 3N2
2,kloud@gmail.com,5486745806440546502,Kendra548,506-363-1526,6 Arch St #9757AlcidaNB E8J 2C4
3,lourdes_bauswell@aol.com,7388794760278779036,Lourdes253,613-903-7043,9547 Belmont Rd #21BellevilleON K8P 1B3
4,hannah@yahoo.com,-5610956690016850694,Hannah912,604-334-3686,73 Pittsford Victor RdVancouverBC V5Z 3K2
5,tom.loeza@gmail.com,-6270089746330925219,Tom798,514-487-6096,447 Commercial St SeLIle-PerrotQC J7V 4T4
6,queenie.kramarczyk@kramarczyk.org,-1043765346848141368,Queenie161,306-421-5793,47 Garfield AveSwift CurrentSK S9H 4V2
7,hui_portaro@cox.net,6683320721836271474,Hui381,506-827-7755,3 Mill RdBaker BrookNB E7A 1T3
8,josefa.opitz@opitz.org,-5012158590663075736,Josefa389,519-788-7645,136 W Grand Ave #3DelhiON N4B 1C4
9,lsteinhaus@cox.net,-7021004375939206653,Lea493,905-618-8258,80 Maplewood Dr #34BradfordON L3Z 2S4
10,paola_vielma@aol.com,913830119540225156,Paola555,905-456-1117,58 Hancock StAuroraON L4G 2J7
11,hbresser@aol.com,-441786611229317375,Hortencia801,902-256-6791,808 Calle De IndustriasNew WaterfordNS B1H 1Z4
12,leanna@cox.net,1156619628085626829,Leanna602,416-719-2114,2859 Dorsett RdNorth YorkON M9L 2T9
13,danilo_pride@hotmail.com,1783438292677327623,Danilo955,403-212-4945,6857 Wall StRed DeerAB T4R 2H5
14,huey.marcille@gmail.com,1194950934862595288,Huey424,780-639-3619,169 Journal SqEdmontonAB T5P 1G9
15,apolonia@gmail.com,-4033355259255218912,Apolonia554,506-978-1488,3 E 31st St #77FrederictonNB E3G 0A3
16,chandra.lagos@lagos.org,1721535651208108867,Chandra946,416-716-6446,7 N Dean StEtobicokeON M8Z 3P6
17,crissy@aol.com,-343593936652191178,Crissy228,705-477-2307,85 S State StBarrieON L4N 6T7
18,gianna@aol.com,-3086514758284891992,Gianna514,403-337-7162,100 Main StCalgaryAB T2K 4X5
19,vbilla@yahoo.com,4813496337755299082,Valentin766,306-291-5073,6185 Bohn St #72PangmanSK S0C 2C0
20,idudash@dudash.com,-3563580140183476036,Ilona203,819-536-7034,2 Sutton Pl S #5727Rouyn-NorandaQC J9X 3V4
21,wlablanc@yahoo.com,-8334765739742232915,Willard739,780-384-5410,1534 Sidco DrLeducAB T9E 5A6
22,lauryn@yahoo.com,-5277030942548929330,Lauryn958,604-236-4625,4207 Leon RdNorth VancouverBC V7L 3X6
23,laurena.begin@begin.com,-1205272815774622220,Laurena382,519-790-8660,7564 N Academy AveLondonON N6A 1S5
24,elise@gmail.com,8538634669835523062,Elise848,905-652-4509,88 E Saint Elmo RdHamiltonON L8R 3J3
25,corrie_kardell@aol.com,1155593334663845402,Corrie704,514-203-7817,75 Westchester AvePierrefondsQC H9J 1W6
26,kimberely.rabuse@cox.net,7106519077345766492,Kimberely163,519-912-5533,89 W 35th St #1WindsorON N8S 3R1
27,tish.violett@violett.com,3802867174611741591,Tish301,450-840-7605,1 Norris Ave #4095LavalQC H7W 5K7
